script,id,firstName,lastName,raceEthnicityAlt,raceEthnicity,score,raceEthnicitiesTop,probabilityCalibrated,probabilityAltCalibrated
LATIN,57b58b1e-01b9-4f3d-9272-52f40aab0222,Cal,Mitchell,W_NL,B_NL,6.108640818503118,"['B_NL', 'W_NL', 'A', 'HL']",0.6768352568583893,0.9521538253701936
LATIN,49bffec3-5596-4cbb-b6ec-ff9575388b7d,Génesis,Cabrera,A,HL,40.41952660590478,"['HL', 'A', 'B_NL', 'W_NL']",0.9727340270379703,0.9868888242142025
LATIN,5fdd33b0-4f61-44fb-b66c-4cca9b3abf5e,Ronald,Guzmán,W_NL,HL,7.436446284501214,"['HL', 'W_NL', 'A', 'B_NL']",0.7290133948140239,0.9057876224857462
LATIN,63ad12c9-1d0b-492b-aeab-977fb56bc186,Devin,Williams,W_NL,B_NL,15.178707251849065,"['B_NL', 'W_NL', 'A', 'HL']",0.8980581745455948,0.9699233777934766
LATIN,00c8c805-a208-4471-9d3e-b21753e21191,Josh,Bell,W_NL,B_NL,1.171524177719417,"['B_NL', 'W_NL', 'A', 'HL']",0.4727448072006057,0.8890185824348384
LATIN,dd3418e0-8831-45aa-9902-545d572580c3,Owen,Miller,B_NL,W_NL,0.9616863060974346,"['W_NL', 'B_NL', 'A', 'HL']",0.46049921572739083,0.9262645904233257
LATIN,46792766-8dbf-4174-86da-d050738163dd,Adrian,Morejon,W_NL,HL,30.37899945122672,"['HL', 'W_NL', 'A', 'B_NL']",0.948158850919765,0.9791846193677578
LATIN,116c3555-0f80-4262-ae33-6946cd141c2f,JJ,Bleday,B_NL,W_NL,0.24083001601412996,"['W_NL', 'B_NL', 'A', 'HL']",0.41276245553396484,0.7126170635140978
LATIN,114dff48-e62a-4c6b-b3ac-88e60ed623de,Javier,Assad,A,HL,4.187802365476738,"['HL', 'A', 'B_NL', 'W_NL']",0.606141259890292,0.7584000029261309
LATIN,8801ba8c-13ce-4d65-a4a0-762b79cd5fed,Luis,Torrens,W_NL,HL,41.1329089465602,"['HL', 'W_NL', 'B_NL', 'A']",0.9727340270379703,0.9868888242142025
LATIN,9a14e886-7991-4fea-bc30-f72eea511cdc,Rich,Hill,B_NL,W_NL,1.6702072258304348,"['W_NL', 'B_NL', 'A', 'HL']",0.4967030441489997,0.9374663589929036
LATIN,773b3a1e-9095-4ffe-88e1-699868d41202,Parker,Markel,A,W_NL,12.118658896373622,"['W_NL', 'A', 'B_NL', 'HL']",0.8504193981408871,0.948654280323661
LATIN,38d48a60-0ec8-465c-8b4e-aab09fe16467,Wily,Peralta,A,HL,19.070557112711,"['HL', 'A', 'W_NL', 'B_NL']",0.9282188233403447,0.9754986851573165
LATIN,ff1df016-a87d-418d-949b-6bc678db21ff,Hunter,Harvey,B_NL,W_NL,6.075197693064172,"['W_NL', 'B_NL', 'A', 'HL']",0.6760937842676569,0.9374531197830395
LATIN,21bd1b10-72a3-4c87-a242-c10057ac2f6b,Carlos,Santana,A,HL,46.13325107089918,"['HL', 'A', 'B_NL', 'W_NL']",0.9727340270379703,0.9868888242142025
LATIN,eb4d1267-a906-4da8-b726-5daee8fdea87,Connor,Seabold,B_NL,W_NL,10.018976689513346,"['W_NL', 'B_NL', 'A', 'HL']",0.8056504164394335,0.8751473562496145
LATIN,5b4bd415-a097-4fe7-a1fa-c70bc5c6a42c,Casey,Lawrence,W_NL,B_NL,0.5364523540867709,"['B_NL', 'W_NL', 'HL', 'A']",0.4334213594648021,0.936469518752944
LATIN,5ad2b32c-5c23-4037-88a7-64b848b3a954,Keegan,Thompson,W_NL,B_NL,1.2582239177940502,"['B_NL', 'W_NL', 'A', 'HL']",0.4774332457481536,0.9095841446520982
LATIN,8b225e78-d067-4b67-ad3a-8943680511c7,Johan,Oviedo,A,HL,32.32132315369745,"['HL', 'A', 'W_NL', 'B_NL']",0.9493921565268414,0.9868888242142025
LATIN,442f61ab-fdec-4e60-a43d-d7457d17c4a9,Ryan,Pepiot,HL,W_NL,13.657185601107265,"['W_NL', 'HL', 'A', 'B_NL']",0.8745318809076035,0.9075477274927027
LATIN,a9ac33fc-70f2-41c4-ad41-18d9ed096437,Max,Meyer,HL,W_NL,12.98674179708557,"['W_NL', 'HL', 'B_NL', 'A']",0.8682356082956242,0.9204511705752658
LATIN,2382b57f-ee6e-46ca-b7ae-9637d91f5409,Mark,Payton,B_NL,W_NL,1.804536931783804,"['W_NL', 'B_NL', 'A', 'HL']",0.5019421703931948,0.9338375418073386
LATIN,60978e57-afa7-4908-a005-95cb98aab94a,Kevin,Kiermaier,B_NL,W_NL,7.863080616305608,"['W_NL', 'B_NL', 'A', 'HL']",0.7464820846703475,0.8359895216741395
