Name,First_name,Last_name,Href,Player_headshot
Alcides Escobar,Alcides,Escobar,/player/alcides-escobar-444876,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/444876/headshot/67/current"
Eduardo Escobar,Eduardo,Escobar,/player/eduardo-escobar-500871,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/500871/headshot/67/current"
Raynel Espinal,Raynel,Espinal,/player/raynel-espinal-642659,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642659/headshot/67/current"
Santiago Espinal,Santiago,Espinal,/player/santiago-espinal-669289,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669289/headshot/67/current"
Paolo Espino,Paolo,Espino,/player/paolo-espino-502179,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/502179/headshot/67/current"
Anderson Espinoza,Anderson,Espinoza,/player/anderson-espinoza-659262,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/659262/headshot/67/current"
Carlos Estévez,Carlos,Estévez,/player/carlos-estevez-608032,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608032/headshot/67/current"
Jeremiah Estrada,Jeremiah,Estrada,/player/jeremiah-estrada-669093,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669093/headshot/67/current"
Thairo Estrada,Thairo,Estrada,/player/thairo-estrada-642731,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642731/headshot/67/current"
Alex Faedo,Alex,Faedo,/player/alex-faedo-656412,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656412/headshot/67/current"
Pete Fairbanks,Pete,Fairbanks,/player/pete-fairbanks-664126,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664126/headshot/67/current"
Stuart Fairchild,Stuart,Fairchild,/player/stuart-fairchild-656413,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656413/headshot/67/current"
Bailey Falter,Bailey,Falter,/player/bailey-falter-663559,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663559/headshot/67/current"
Jeurys Familia,Jeurys,Familia,/player/jeurys-familia-544727,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/544727/headshot/67/current"
Buck Farmer,Buck,Farmer,/player/buck-farmer-571656,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571656/headshot/67/current"
Kyle Farmer,Kyle,Farmer,/player/kyle-farmer-571657,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/571657/headshot/67/current"
Luke Farrell,Luke,Farrell,/player/luke-farrell-608652,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608652/headshot/67/current"
Calvin Faucher,Calvin,Faucher,/player/calvin-faucher-676534,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676534/headshot/67/current"
Erick Fedde,Erick,Fedde,/player/erick-fedde-607200,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607200/headshot/67/current"
Mario Feliciano,Mario,Feliciano,/player/mario-feliciano-666128,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666128/headshot/67/current"
Michael Feliz,Michael,Feliz,/player/michael-feliz-593140,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/593140/headshot/67/current"
Ryan Feltner,Ryan,Feltner,/player/ryan-feltner-663372,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663372/headshot/67/current"
Caleb Ferguson,Caleb,Ferguson,/player/caleb-ferguson-657571,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/657571/headshot/67/current"
Freddy Fermin,Freddy,Fermin,/player/freddy-fermin-666023,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666023/headshot/67/current"
Junior Fernández,Junior,Fernández,/player/junior-fernandez-658551,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/658551/headshot/67/current"
